day,current,phi,stage,stage_combined
559,0.2739,0.1155594027266825,D,D
560,0.28,0.1199596047031667,D,D
561,0.2946,0.1304912356632763,D,D
562,0.2854,0.1238548654692346,D,D
563,0.2762,0.1172184952751929,D,D
564,0.2887,0.1262353026040539,D,D
565,0.2762,0.1172184952751929,D,D
566,0.2636,0.108129553487701,D,D
567,0.2722,0.1143331169299574,D,D
568,0.2656,0.1095722426603188,D,D
569,0.2781,0.1185890499891798,D,D
570,0.2815,0.12104162158263,D,D
571,0.2951,0.1308519079564307,D,D
572,0.2847,0.1233499242588184,D,D
573,0.2807,0.1204645459135829,D,D
574,0.2894,0.1267402438144701,D,D
575,0.2655,0.1095001082016879,D,D
576,0.2854,0.1238548654692346,D,D
577,0.29,0.1271730505662554,D,D
578,0.2724,0.1144773858472192,D,D
579,0.2938,0.1299141599942292,D,D
580,0.2877,0.1255139580177451,D,D
581,0.282,0.1214022938757844,D,D
582,0.2908,0.1277501262353026,D,D
583,0.3043,0.1374882781504725,D,D
584,0.2879,0.1256582269350068,D,D
585,0.2888,0.1263074370626848,D,D
586,0.2835,0.1224843107552477,D,D
587,0.2808,0.1205366803722138,D,D
588,0.2946,0.1304912356632763,D,D
589,0.2815,0.12104162158263,D,D
590,0.2892,0.1265959748972084,D,D
591,0.2852,0.1237105965519728,D,D
592,0.2932,0.1294813532424439,D,D
593,0.2925,0.1289764120320276,D,D
594,0.2985,0.1333044795498809,D,D
595,0.2864,0.1245762100555435,D,D
596,0.2887,0.1262353026040539,D,D
597,0.2834,0.1224121762966168,D,D
598,0.2881,0.1258024958522686,D,D
599,0.295,0.1307797734977998,D,D
600,0.2984,0.1332323450912501,D,D
601,0.2854,0.1238548654692346,D,D
602,0.3001,0.1344586308879751,D,D
603,0.3044,0.1375604126091033,D,D
604,0.2972,0.1323667315876794,D,D
605,0.3093,0.1410950010820169,D,D
606,0.2884,0.1260188992281612,D,D
607,0.285,0.123566327634711,D,D
608,0.2811,0.1207530837481064,D,D
609,0.3077,0.1399408497439226,D,D
610,0.3014,0.1353963788501767,D,D
611,0.2961,0.1315732525427396,D,D
612,0.2991,0.1337372863016662,D,D
613,0.2883,0.1259467647695304,D,D
614,0.3172,0.146793623313857,D,D
615,0.299,0.1336651518430354,D,D
616,0.2993,0.133881555218928,D,D
617,0.3046,0.1377046815263651,D,D
618,0.303,0.1365505301882709,D,D
619,0.3013,0.1353242443915458,D,D
620,0.2936,0.1297698910769675,D,D
621,0.304,0.1372718747745798,D,D
622,0.3157,0.1457116064343936,D,D
623,0.3118,0.1428983625477891,D,D
624,0.3142,0.1446295895549303,D,D
625,0.2977,0.1327274038808338,D,D
626,0.2943,0.1302748322873836,D,D
627,0.3015,0.1354685133088076,D,D
628,0.3034,0.1368390680227945,D,D
629,0.3121,0.1431147659236817,D,D
630,0.2902,0.1273173194835173,D,D
631,0.3163,0.146144413186179,D,D
632,0.3032,0.1366947991055327,D,D
633,0.3014,0.1353963788501767,D,D
634,0.2971,0.1322945971290485,D,D
635,0.2924,0.1289042775733968,D,D
636,0.3126,0.1434754382168361,D,D
637,0.3069,0.1393637740748755,D,D
638,0.2964,0.1317896559186323,D,D
639,0.2968,0.1320781937531558,D,D
640,0.3048,0.1378489504436269,D,D
641,0.3212,0.1496790016590925,D,D
642,0.3062,0.1388588328644593,D,D
643,0.2966,0.131933924835894,D,D
644,0.3071,0.1395080429921373,D,D
645,0.3073,0.1396523119093991,D,D
646,0.2882,0.1258746303108995,D,D
647,0.3098,0.1414556733751713,D,D
648,0.3087,0.1406621943302315,D,D
649,0.3165,0.1462886821034408,D,D
650,0.3262,0.1532857245906369,D,D
651,0.3208,0.1493904638245689,D,D
652,0.31,0.141599942292433,D,D
